Country Name,Year,Tourism_arrivals
United Kingdom,2015,36792000
United Kingdom,2016,39129000
United Kingdom,2017,41080000
United Kingdom,2018,40283000
United Kingdom,2019,40857000
United Kingdom,2020,11101000
