Country,2019
Austria,44538
Belarus,22136
Belgium,26077
Bulgaria,20937
Croatia,...
Czech Republic,24607
Denmark,40568
Estonia,...
Finland,24661
France,31114
Georgia (Europe),...
Germany,151500
Greece,171512
Hungary,31916
Iceland,...
Iran,1858
Ireland,19513
Israel,293746
Italy,27491
Latvia,15398
Lebanon,58796
Lithuania,18580
Luxambourg,...
Malta,6636
Netherlands,43198
Norway,60782
Other E.U. countries,28287
Other European countries - non EU,10461
Poland,80243
Portugal,...
Romania,57313
Russian Federation,781856
Serbia,10536
Slovakia,32844
Slovenia,...
Spain,9550
Sweden,144605
Switzerland,67534
Syria,...
Total arrivals,3976777
Total arrivals from Europe,3430067
Total arrivals from other European countries - non EU,1048337
Turkey,...
Ukraine,95031
United Kingdom (E.U),1330635
United Kingdom (non E.U),...
