Country Name,Time,GDPgrowth(annual%)
Russia,2006,8.20
Russia,2007,8.50
Russia,2008,5.20
Russia,2009,-7.80
Russia,2010,4.50
Russia,2011,4.30
Russia,2012,4.02
Russia,2013,1.76
Russia,2014,0.74
Russia,2015,-1.97
Russia,2016,0.19
Russia,2017,1.83
Russia,2018,2.81
Russia,2019,2.20
Russia,2020,-2.66
Russia,2021,4.75
